"Character","Median_Win_Rate","cluster"
"AN",0.545589431867132,1
"AS",0.517576681448633,4
"AX",0.529567854435178,1
"BA",0.493276081725098,4
"BE",0.460523299603759,3
"BI",0.436816474189509,2
"CH",0.462856821757698,3
"EL",0.440225339905747,2
"FA",0.488267448143991,4
"GI",0.470524778064951,3
"GO",0.561452294131535,1
"HA",0.504872621240025,4
"IN",0.494208245188587,4
"JC",0.473420930676335,3
"JN",0.529033155207692,1
"KY",0.533033815166905,1
"LE",0.51662925933483,4
"MA",0.467461302484603,3
"MI",0.521374282078619,4
NA,0.540834327816116,1
"PO",0.536536721390187,1
"RA",0.441700148022838,2
"SI",0.509268392231557,4
"SO",0.555577777777778,1
"TE",0.412113818457582,2
"ZA",0.432808647828561,2
